date,AAPL,XOM,JPM,WMT,PFE,AMZN,BAC,T
2024-12-13,246.342285,104.813408,231.676224,92.765648,22.683233,227.460007,43.931709,21.830906
2024-12-16,249.231308,102.572273,231.328629,93.375877,22.390602,232.929993,43.739323,21.101051
2024-12-17,251.653748,102.137291,230.150635,93.917221,23.436977,231.149994,43.335308,21.091816
2024-12-18,246.262863,100.633736,222.435822,92.076668,22.958128,220.520004,41.844299,20.768463
2024-12-19,247.990341,99.773224,224.936630,91.929031,22.851719,223.289993,41.728867,20.851608
2024-12-20,252.656494,100.113640,229.416809,90.787300,23.374907,224.919998,42.488796,21.017906
2024-12-23,253.430862,100.520271,230.179596,88.927071,23.685266,225.059998,42.219456,21.101051
2024-12-24,256.339752,100.614822,233.964615,91.220375,23.711868,229.050003,42.690807,21.202679
2024-12-26,257.153778,100.699928,234.766006,91.328644,23.552254,227.050003,42.854336,21.211912
2024-12-27,253.748550,100.690475,232.863846,90.216438,23.605461,223.750000,42.652328,21.119530
2024-12-30,250.382980,100.009628,231.077560,89.143608,23.428108,221.300003,42.238701,20.888563
2024-12-31,248.615784,101.721207,231.454147,88.927071,23.525652,219.389999,42.277176,21.036381
2025-01-02,242.093109,101.475349,231.734146,88.582581,23.596592,220.220001,42.604237,21.091816
2025-01-03,241.606644,101.995445,234.901199,89.350296,23.578857,224.190002,43.104439,20.943995
2025-01-06,243.234833,101.881966,233.755966,89.990051,23.844883,227.610001,43.671986,20.879324
2025-01-07,240.464966,102.837044,236.007584,89.379822,24.057705,222.110001,44.326103,20.509783
2025-01-08,240.951401,101.116013,235.968796,90.354240,23.818281,222.130005,44.451153,20.491302
2025-01-10,235.143570,100.747223,232.804810,91.535332,23.694138,218.940002,43.393024,20.292957
2025-01-13,232.711227,103.347694,237.016983,90.088470,23.765076,218.460007,43.344925,20.171329
2025-01-14,231.599274,103.754311,240.180954,89.360146,23.419243,217.759995,44.037518,20.395868
2025-01-15,236.156204,105.446983,244.917252,89.901482,23.250755,223.350006,45.307274,20.498785
2025-01-16,226.615463,105.267311,246.780655,89.862106,23.490181,220.660004,44.864788,20.601702
2025-01-17,228.323059,106.212944,251.526657,90.492035,23.321697,225.940002,44.758976,20.854311
2025-01-21,221.035934,105.409172,255.282623,91.614082,23.623196,230.710007,44.884026,21.041428
2025-01-22,222.217361,103.574646,255.098221,91.761719,23.064539,235.009995,44.047142,20.882380
2025-01-23,222.048599,104.160934,258.116608,92.332573,23.445847,235.419998,44.624302,21.078852
2025-01-24,221.174927,102.751953,257.039307,93.267624,23.517958,234.850006,44.749355,21.256615
2025-01-27,228.203918,104.179848,258.019592,95.866043,24.212049,235.419998,45.297661,22.585152
2025-01-28,236.543396,102.165665,259.271545,95.757759,24.112892,238.149994,45.057175,22.828405
2025-01-29,237.635483,102.761398,258.728058,95.964462,23.995708,237.070007,44.970596,22.669355
2025-01-30,235.878220,103.612473,260.329468,97.096359,24.257120,234.639999,44.941742,22.472881
2025-01-31,234.299683,101.021446,259.426880,96.614075,23.905567,237.679993,44.537735,22.201561
2025-02-03,226.367249,101.267311,258.951294,97.972328,23.617115,237.419998,44.451153,22.688066
2025-02-04,231.122757,103.981247,260.048035,99.182953,23.319647,242.059998,44.932117,22.688066
